TANGGAL,TAVG,RH_AVG,RR,FF_AVG,PM25
25-02-2025,28,80,0.2,1,20.81
26-02-2025,27.6,82,0,1,18.25
27-02-2025,28.2,81,0,1,48.3
28-02-2025,28.5,80,8.4,1,
01-03-2025,28.6,79,2,1,
02-03-2025,28.9,81,0,2,
03-03-2025,28.5,81,0,1,
04-03-2025,27.5,83,40.5,1,15.5
05-03-2025,28.9,78,8888,1,22.93
06-03-2025,29.6,76,0,1,35.28
07-03-2025,29.3,72,8888,1,8.15
08-03-2025,28.4,78,8888,2,17.11
09-03-2025,28.7,78,8888,1,19.44
10-03-2025,28.5,78,0,1,22
11-03-2025,28.8,78,0,1,29.58
12-03-2025,29.6,74,0,1,
13-03-2025,29.4,76,0,1,
14-03-2025,29,73,0,2,13.11
15-03-2025,28.6,74,1.3,1,6.94
16-03-2025,29.3,72,0.6,2,9.5
17-03-2025,28.5,80,0,1,14.47
18-03-2025,28.1,80,23.1,1,7.79
19-03-2025,28.5,78,1.3,2,10.31
20-03-2025,28.4,79,6,2,12
21-03-2025,29.4,72,1.4,2,12
22-03-2025,28.5,83,0,1,12
23-03-2025,28.7,82,20.3,2,12
24-03-2025,28.6,81,1.2,1,12
25-03-2025,28.8,81,0,1,15.08
26-03-2025,28.6,85,1,1,33.57
27-03-2025,28.2,84,0,1,6.55
28-03-2025,28.2,82,5.4,2,140
29-03-2025,28.8,74,0.3,3,140
30-03-2025,30.2,74,8888,2,
31-03-2025,29.3,74,0,1,
01-04-2025,26.9,86,1,1,
02-04-2025,28.3,80,5.8,1,
03-04-2025,28.5,81,8.2,1,
04-04-2025,28.4,82,5.9,1,
05-04-2025,28.8,80,8888,1,
06-04-2025,27.8,83,0,1,
07-04-2025,28.5,80,43,1,
08-04-2025,29,76,0,1,
09-04-2025,29.5,75,0,1,84.2
10-04-2025,29.3,79,0,1,43.07
11-04-2025,28.9,78,0,1,40.33
12-04-2025,28.7,79,0,1,43.5
13-04-2025,27.9,84,11.1,2,51.34
14-04-2025,29.7,74,8.9,1,9.94
15-04-2025,29,76,0,1,12.01
16-04-2025,28.4,82,2.5,1,27.45
17-04-2025,27.3,86,25.5,0,35.54
18-04-2025,28.8,83,0,1,30.13
19-04-2025,29.3,78,2.8,1,20.79
20-04-2025,29.2,75,2.1,1,12.71
21-04-2025,28.9,76,0,1,13.03
22-04-2025,28.2,78,7.5,0,15.72
23-04-2025,29.1,74,9.5,2,19.88
24-04-2025,29.7,72,0,2,6.88
25-04-2025,29.3,76,0,1,11.74
26-04-2025,29.4,78,8888,1,15.63
27-04-2025,28.5,81,25,1,39.85
28-04-2025,29.2,75,0,1,13.81
29-04-2025,29.7,73,0,1,17.61
30-04-2025,29.8,71,0,1,17.84
01-05-2025,29.4,75,0,1,22.42
02-05-2025,30,76,8888,1,21.34
03-05-2025,28.4,82,3,1,35.39
04-05-2025,28.7,79,42.2,1,40.47
05-05-2025,30.2,74,0,1,39.54
06-05-2025,29.3,76,0,1,22.17
07-05-2025,28.8,80,3,1,24.84
08-05-2025,29.4,80,3.7,2,34.36
09-05-2025,30.2,72,0,2,19.7
10-05-2025,29.7,78,0,1,28.47
11-05-2025,28.8,81,0.8,1,40.64
12-05-2025,29.2,76,27,1,12.04
13-05-2025,28.9,76,0,1,10.81
14-05-2025,29.1,78,55.2,1,48.68
15-05-2025,29.6,75,0,1,14.35
16-05-2025,28.6,83,37.2,1,31.05
17-05-2025,28.4,83,2.1,1,25.94
